year,miles,source
1830,13,"AAR (Baltimore & Ohio first 13-mile section opened)"
1840,2808,"Rodrigue, Geography of Transport Systems"
1850,9021,"Rodrigue, Geography of Transport Systems"
1860,30000,"Rodrigue / US Historical Statistics (approximate)"
1870,52922,"Rodrigue, Geography of Transport Systems"
1880,93267,"Rodrigue, Geography of Transport Systems"
1890,163597,"Rodrigue, Geography of Transport Systems"
1900,193346,"Rodrigue, Geography of Transport Systems"
1916,254037,"Rodrigue (peak mileage)"
